Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÏêÏ¸Àà±ğ
Thóy Vò Tr©m	4	0	\spr\item\questkey\taskobj001.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Hoa §¹i Man §µ La 	4	1	\spr\item\questkey\taskobj002.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
C¸ Ng©n TuyÕt	4	2	\spr\item\questkey\taskobj003.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Bİch Th­êng Phông §iÖp	4	3	\spr\item\questkey\taskobj004.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Con giun ®á	4	4	\spr\item\questkey\taskobj005.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Vò §ång Quan ©m 	4	5	\spr\item\questkey\taskobj006.spr	41	1	2	VËt phÈm trong nhiÖm vô	0
NhiÖm vô xuÊt s­	4	6	\spr\item\questkey\taskobj007.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
L¹c §µ §Çu Cèt	4	7	\spr\item\questkey\taskobj008.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Kim T¬ HÇu	4	8	\spr\item\questkey\taskobj009.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
HuyÕt Hån ThÇn KiÕm	4	9	\spr\item\questkey\taskobj010.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Mét nóm tãc	4	10	\spr\item\questkey\taskobj011.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Phôc Hy Táa	4	11	\spr\item\questkey\taskobj012.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Viªm ®Õ Táa	4	12	\spr\item\questkey\taskobj013.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
ThiÕu H¹o Táa	4	13	\spr\item\questkey\taskobj014.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Chuyªn Hóc Táa	4	14	\spr\item\questkey\taskobj015.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Hoµng §Õ Táa	4	15	\spr\item\questkey\taskobj016.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Ngò S¾c Th¹ch	4	16	\spr\item\questkey\taskobj017.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
B¹ch Ngäc Nh­ ı	4	17	\spr\item\questkey\taskobj018.spr	41	1	1	Lo¹i ngäc ®­îc mµi tõ nh÷ng lo¹i b¶o th¹ch th­îng ®¼ng, mµu s¾c lãng l¸nh, lÔ vËt ®Ó gia nhËp Nga Mi ph¸i. 	0
