SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
C«ng kÝch vËt lý  	C«ng kÝch ngo¹i c«ng  	1	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	100	0	0	0	0	1	64	1	1	1	9	0	1	5	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	0	-1	1	\script\skill\special\³¤±øÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					C«ng kÝch vËt lý 
C«ng kÝch vËt lý gÇn 	C«ng kÝch ngo¹i c«ng  	2	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_at.spr				0	0	0	0	320	0	0	0	0	1	65	1	1	1	9	0	1	5	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	0	-1	1	\script\skill\special\Ô¶³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					C«ng kÝch vËt lý 
ThiÕu L©m KiÕm ph¸p	Hç trî bÞ ®éng	3	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\½£·¨.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\saolin\ÉÙÁÖ½£·¨.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																																					T¨ng hiÖu qu¶ sö dông kiÕm.
ThiÕu L©m C«n ph¸p	Hç trî bÞ ®éng	4	206	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_gf.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	2	0	0	0	0		0					1	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_gunfa	attackratingenhance_p	shaolin_gunfa	deadlystrikeenhance_p	shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		T¨ng hiÖu qu¶ sö dông c«n.
ThiÕu L©m th­¬ng ph¸p (##) 	Hç trî bÞ ®éng	5		3	\spr\Ui\¼¼ÄÜÍ¼±ê\Ç¹·¨.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																																					T¨ng hiÖu qu¶ sö dông th­¬ng.
ThiÕu L©m §ao ph¸p	Hç trî bÞ ®éng	6	208	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_df.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					1	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_daofa	deadlystrikeenhance_p	shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		T¨ng hiÖu qu¶ sö dông ®ao.
ThiÕu L©m Chïy ph¸p (##) 	Hç trî bÞ ®éng	7		3	\spr\Ui\¼¼ÄÜÍ¼±ê\½£·¨.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																																					T¨ng hiÖu qu¶ sö dông chïy.
ThiÕu L©m QuyÒn Ph¸p	Hç trî bÞ ®éng	8	207	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_qf.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	0	0	0		0					1	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_quanfa	attackratingenhance_p	shaolin_quanfa	deadlystrikeenhance_p	shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		T¨ng hiÖu qu¶ c«ng kÝch tay kh«ng.
Hçn Nguyªn NhÊt KhÝ c«ng	T¨ng c­êng thuéc tÝnh - bÞ  ®éng	9		3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_01.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\shaolin.lua	staminamax_p																																									NhËp m«n chiªu thøc, t¨ng c­êng thÓ lùc cho ng­êi luyÖn.
Kim Cang Phôc Ma	C«ng kÝch ngo¹i c«ng  	10	204	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_02.spr		\sound\skill\sound_k001.wav	0	0	0	0	1	90	5	1	5	1	8	216	0	1	0	9	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	1	0	0	0		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	jingang_fumo	addskilldamage2	jingang_fumo	missle_speed_v	jingang_fumo	missle_lifetime_v	jingang_fumo	skill_attackradius	jingang_fumo	addskilldamage1	jingang_fumo	seriesdamage_p	jingang_fumo	addskilldamage3	jingang_fumo	addskilldamage4	jingang_fumo	skill_cost_v	jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		Vâ c«ng nhËp m«n, tÊn c«ng ng­êi ®¬n lÎ.
